day,tool_a,tool_b,class,n,c_1to1,c_split,c_merge,c_unmatched
Wednesday,tranalyzer,cicflowmeter-fixed,DoS Slowhttptest,4217,3337,880,0,0
Wednesday,tranalyzer,cicflowmeter-fixed,DoS slowloris,3895,3610,278,0,7
Wednesday,tranalyzer,cicflowmeter-fixed,Heartbleed,1,0,1,0,0
Wednesday,tranalyzer,argus,ALL,479256,185491,0,291940,1825
Wednesday,tranalyzer,argus,BENIGN,304325,185482,0,117018,1825
Wednesday,tranalyzer,argus,DoS GoldenEye,7496,0,0,7496,0
Wednesday,tranalyzer,argus,DoS Hulk,159322,0,0,159322,0
Wednesday,tranalyzer,argus,DoS Slowhttptest,4217,8,0,4209,0
Wednesday,tranalyzer,argus,DoS slowloris,3895,0,0,3895,0
Wednesday,tranalyzer,argus,Heartbleed,1,1,0,0,0
Wednesday,tranalyzer,go-flows,ALL,479256,307830,107449,4,63973
Wednesday,tranalyzer,go-flows,BENIGN,304325,220781,19952,4,63588
Wednesday,tranalyzer,go-flows,DoS GoldenEye,7496,7414,82,0,0
Wednesday,tranalyzer,go-flows,DoS Hulk,159322,71959,87003,0,360
Wednesday,tranalyzer,go-flows,DoS Slowhttptest,4217,3937,280,0,0
Wednesday,tranalyzer,go-flows,DoS slowloris,3895,3738,132,0,25
Wednesday,tranalyzer,go-flows,Heartbleed,1,1,0,0,0
Wednesday,tranalyzer,yaf,ALL,479256,298984,103776,13308,63188
Wednesday,tranalyzer,yaf,BENIGN,304325,212008,16704,12794,62819
Wednesday,tranalyzer,yaf,DoS GoldenEye,7496,7496,0,0,0
Wednesday,tranalyzer,yaf,DoS Hulk,159322,71672,86792,514,344
Wednesday,tranalyzer,yaf,DoS Slowhttptest,4217,3937,280,0,0
Wednesday,tranalyzer,yaf,DoS slowloris,3895,3870,0,0,25
Wednesday,tranalyzer,yaf,Heartbleed,1,1,0,0,0
Wednesday,tranalyzer,joy,ALL,479256,239458,56766,2482,180550
Wednesday,tranalyzer,joy,BENIGN,304325,78747,43230,1799,180549
Wednesday,tranalyzer,joy,DoS GoldenEye,7496,4136,3360,0,0
Wednesday,tranalyzer,joy,DoS Hulk,159322,154723,3915,683,1
Wednesday,tranalyzer,joy,DoS Slowhttptest,4217,39,4178,0,0
Wednesday,tranalyzer,joy,DoS slowloris,3895,1813,2082,0,0
Wednesday,tranalyzer,joy,Heartbleed,1,0,1,0,0
Wednesday,cicflowmeter-orig,nfstream,ALL,777036,80729,1,456810,239496
Wednesday,cicflowmeter-orig,nfstream,BENIGN,373895,68637,1,89827,215430
Wednesday,cicflowmeter-orig,nfstream,DoS GoldenEye,10490,4726,0,5686,78
Wednesday,cicflowmeter-orig,nfstream,DoS Hulk,381811,2,0,358533,23276
