day,tool_a,tool_b,class,n,c_1to1,c_split,c_merge,c_unmatched
monday-pvt,cicflowmeter-orig,nfstream,ALL,3369,75,21,1643,1630
monday-pvt,cicflowmeter-orig,nfstream,BENIGN,3369,75,21,1643,1630
monday-pvt,cicflowmeter-orig,zeek,ALL,3369,63,6,1656,1644
monday-pvt,cicflowmeter-orig,zeek,BENIGN,3369,63,6,1656,1644
monday-pvt,cicflowmeter-orig,tranalyzer,ALL,3369,70,0,1645,1654
monday-pvt,cicflowmeter-orig,tranalyzer,BENIGN,3369,70,0,1645,1654
monday-pvt,cicflowmeter-orig,cicflowmeter-fixed,ALL,3369,777,101,1018,1473
monday-pvt,cicflowmeter-orig,cicflowmeter-fixed,BENIGN,3369,777,101,1018,1473
monday-pvt,cicflowmeter-orig,argus,ALL,3369,62,0,1463,1844
monday-pvt,cicflowmeter-orig,argus,BENIGN,3369,62,0,1463,1844
monday-pvt,cicflowmeter-orig,go-flows,ALL,3369,75,21,1619,1654
monday-pvt,cicflowmeter-orig,go-flows,BENIGN,3369,75,21,1619,1654
monday-pvt,cicflowmeter-orig,yaf,ALL,3369,72,21,1622,1654
monday-pvt,cicflowmeter-orig,yaf,BENIGN,3369,72,21,1622,1654
monday-pvt,cicflowmeter-orig,joy,ALL,3369,117,713,855,1684
monday-pvt,cicflowmeter-orig,joy,BENIGN,3369,117,713,855,1684
monday-pvt,cicflowmeter-fixed,nfstream,ALL,2724,708,23,675,1318
monday-pvt,cicflowmeter-fixed,nfstream,BENIGN,2724,708,23,675,1318
monday-pvt,cicflowmeter-fixed,zeek,ALL,2724,1830,9,695,190
monday-pvt,cicflowmeter-fixed,zeek,BENIGN,2724,1830,9,695,190
monday-pvt,cicflowmeter-fixed,tranalyzer,ALL,2724,1691,0,682,351
monday-pvt,cicflowmeter-fixed,tranalyzer,BENIGN,2724,1691,0,682,351
monday-pvt,cicflowmeter-fixed,cicflowmeter-orig,ALL,2724,777,598,23,1326
monday-pvt,cicflowmeter-fixed,cicflowmeter-orig,BENIGN,2724,777,598,23,1326
monday-pvt,cicflowmeter-fixed,argus,ALL,2724,1782,0,550,392
monday-pvt,cicflowmeter-fixed,argus,BENIGN,2724,1782,0,550,392
monday-pvt,cicflowmeter-fixed,go-flows,ALL,2724,667,69,651,1337
monday-pvt,cicflowmeter-fixed,go-flows,BENIGN,2724,667,69,651,1337
monday-pvt,cicflowmeter-fixed,yaf,ALL,2724,663,69,657,1335
monday-pvt,cicflowmeter-fixed,yaf,BENIGN,2724,663,69,657,1335
monday-pvt,cicflowmeter-fixed,joy,ALL,2724,1548,797,24,355
monday-pvt,cicflowmeter-fixed,joy,BENIGN,2724,1548,797,24,355
monday-pvt,argus,nfstream,ALL,1815,698,16,0,1101
monday-pvt,argus,nfstream,BENIGN,1815,698,16,0,1101
monday-pvt,argus,zeek,ALL,1815,1786,26,0,3
monday-pvt,argus,zeek,BENIGN,1815,1786,26,0,3
monday-pvt,argus,tranalyzer,ALL,1815,1794,18,0,3
monday-pvt,argus,tranalyzer,BENIGN,1815,1794,18,0,3
monday-pvt,argus,cicflowmeter-orig,ALL,1815,62,496,0,1257
monday-pvt,argus,cicflowmeter-orig,BENIGN,1815,62,496,0,1257
monday-pvt,argus,cicflowmeter-fixed,ALL,1815,1782,19,0,14
monday-pvt,argus,cicflowmeter-fixed,BENIGN,1815,1782,19,0,14
monday-pvt,argus,go-flows,ALL,1815,647,67,0,1101
monday-pvt,argus,go-flows,BENIGN,1815,647,67,0,1101
monday-pvt,argus,yaf,ALL,1815,647,63,0,1105
monday-pvt,argus,yaf,BENIGN,1815,647,63,0,1105
monday-pvt,argus,joy,ALL,1815,1661,152,0,2
monday-pvt,argus,joy,BENIGN,1815,1661,152,0,2
monday-pvt,go-flows,nfstream,ALL,2139,2002,0,128,9
